,iso3,year,ideal
3902,CYP,1982,-0.3998286
3903,CYP,1983,-0.490294
3904,CYP,1984,-0.5397357
3905,CYP,1985,-0.5744683
3906,CYP,1986,-0.5089104
3907,CYP,1987,-0.7878439
3908,CYP,1988,-0.5329311
3909,CYP,1989,-0.4486906
3910,CYP,1990,-0.2459459
3911,CYP,1991,-0.2998911
3912,CYP,1992,-0.5065047
3913,CYP,1993,-0.07191035
3914,CYP,1994,-0.1308512
3915,CYP,1995,0.02026371
3916,CYP,1996,0.7191219
3917,CYP,1997,0.7650153
3918,CYP,1998,0.5443552
3919,CYP,1999,0.655231
3920,CYP,2000,0.5871768
3921,CYP,2001,0.6876173
3922,CYP,2002,0.6227977
3923,CYP,2003,0.7047823
3924,CYP,2004,0.7267109
3925,CYP,2005,0.732004
3926,CYP,2006,0.7849799
3927,CYP,2007,0.7580101
3928,CYP,2008,0.6093231
3929,CYP,2009,0.6603971
3930,CYP,2010,0.5941613
3931,CYP,2011,0.6715383
3932,CYP,2012,0.5924791
3933,CYP,2013,0.6764961
3934,CYP,2014,0.7553373
3935,CYP,2015,0.626238
3936,CYP,2016,0.6089086
3937,CYP,2017,0.6656307
3938,CYP,2018,0.6296845
3939,CYP,2019,0.7220057
3940,CYP,2020,0.622199
3941,CYP,2021,0.6634527
3942,CYP,2022,0.7432023
3943,BGR,1956,-2.795143
3944,BGR,1957,-2.784719
3945,BGR,1958,-2.825673
3946,BGR,1959,-2.766825
3947,BGR,1960,-2.346095
3948,BGR,1961,-2.330315
3949,BGR,1962,-2.318165
